Uniprot	GeneName	ProteinName	No. Peptides	k.mean	k.sd	k.mean.cv	k.median	k.mad	k.median.cv	normality
Q60960	Kpna1	Importin subunit alpha-5 (Importin alpha-S1) (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]	1	0.491	NA	NA	0.491	NA	NA	0
Q05793	Hspg2	Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) [Cleaved into: Endorepellin; LG3 peptide]	8	0.069875	0.0178680680864736	0.255714749001411	0.0705	0.014826	0.210297872340425	0.964453611005119
Q9QXT0	Cnpy2	Protein canopy homolog 2 (MIR-interacting saposin-like protein) (Putative secreted protein ZSIG9) (Transmembrane protein 4)	1	0.255	NA	NA	0.255	NA	NA	0
Q9QXS1	Plec	Plectin (PCN) (PLTN) (Plectin-1) (Plectin-6)	4	0.1035	0.0225314594881616	0.217695260755184	0.098	0.014826	0.151285714285714	0.528451930483892
P18242	Ctsd	Cathepsin D (EC 3.4.23.5)	6	0.192	0.0257604347789396	0.13416893114031	0.2025	0.0126021	0.0622325925925924	0.1082702997462
P47199	Cryz	Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin)	7	0.074	0.00535412613473633	0.0723530558748153	0.075	0.0059304	0.0790720000000001	0.125249687433897
Q8QZT1	Acat1	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	10	0.045	0.0136137185711081	0.302527079357958	0.0405	0.0066717	0.164733333333333	0.00122338626933151
Q60936	Adck3	Chaperone activity of bc1 complex-like, mitochondrial (Chaperone-ABC1-like) (EC 2.7.11.-) (aarF domain-containing protein kinase 3)	5	0.1368	0.0395120234865288	0.288830581041877	0.14	0.0533736	0.38124	0.522156635657809
Q60935	Art1	GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 1) (ARTC1) (Mono(ADP-ribosyl)transferase 1) (YAC-1) (CD antigen CD296)	1	0.14	NA	NA	0.14	NA	NA	0
Q60932	Vdac1	Voltage-dependent anion-selective channel protein 1 (VDAC-1) (mVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Voltage-dependent anion-selective channel protein 5) (VDAC-5) (mVDAC5)	15	0.0285333333333333	0.00781817175072341	0.274001346403858	0.027	0.007413	0.274555555555556	0.0941348378948661
Q60931	Vdac3	Voltage-dependent anion-selective channel protein 3 (VDAC-3) (mVDAC3) (Outer mitochondrial membrane protein porin 3)	5	0.0342	0.00914877040918614	0.267507906701349	0.036	0.0044478	0.12355	0.306314961198415
Q60930	Vdac2	Voltage-dependent anion-selective channel protein 2 (VDAC-2) (mVDAC2) (Outer mitochondrial membrane protein porin 2) (Voltage-dependent anion-selective channel protein 6) (VDAC-6) (mVDAC6)	7	0.0291428571428571	0.011096975134822	0.380778558547813	0.023	0.0103782	0.451226086956522	0.281526997269314
Q9CWZ7	Napg	Gamma-soluble NSF attachment protein (SNAP-gamma) (N-ethylmaleimide-sensitive factor attachment protein gamma)	1	0.2	NA	NA	0.2	NA	NA	0
P51667	Myl2	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform (MLC-2) (MLC-2v)	11	0.0661818181818182	0.0117372755085512	0.177348943123714	0.065	0.00889559999999999	0.136855384615384	0.301017577636056
Q6P1B1	Xpnpep1	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	9	0.147	0.0376994694922886	0.256458976138018	0.149	0.0400302	0.268659060402685	0.635610407613041
P51660	Hsd17b4	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MPF-2) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]	4	0.148	0.0919492613709684	0.621278793047084	0.112	0.0326172	0.291225	0.0886410164576769
A2ASS6			1	0.066	NA	NA	0.066	NA	NA	0
P16045	Lgals1	Galectin-1 (Gal-1) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (S-Lac lectin 1)	6	0.0735	0.0152937895892418	0.208078769921657	0.0675	0.0103782	0.153751111111111	0.120025740198277
Q8QZS1	Hibch	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase) (HIB-CoA hydrolase) (HIBYL-CoA-H)	11	0.0378181818181818	0.0115309859233127	0.304905877779904	0.039	0.0103782	0.266107692307692	0.49540275385681
Q9JKL5	Tesc	Calcineurin B homologous protein 3 (Tescalcin) (TE-1) (TSC)	1	0.48	NA	NA	0.48	NA	NA	0
Q9D8Y1	Tmem126a	Transmembrane protein 126A	1	0.033	NA	NA	0.033	NA	NA	0
Q9D8Y0			1	0.22	NA	NA	0.22	NA	NA	0
Q8QZR5	Gpt	Alanine aminotransferase 1 (ALT1) (EC 2.6.1.2) (Glutamate pyruvate transaminase 1) (GPT 1) (Glutamic--alanine transaminase 1) (Glutamic--pyruvic transaminase 1)	5	0.104	0.0182756668824971	0.175727566177856	0.108	0.0118608	0.109822222222222	0.744705787407262
Q9D8X1	Cutc	Copper homeostasis protein cutC homolog	1	0.454	NA	NA	0.454	NA	NA	0
Q60902	Eps15l1	Epidermal growth factor receptor substrate 15-like 1 (Epidermal growth factor receptor pathway substrate 15-related sequence) (Eps15-rs) (Eps15-related protein) (Eps15R)	4	0.16275	0.0480164902229779	0.295032197990648	0.1585	0.0504084	0.318034069400631	0.811956587834724
P29788	Vtn	Vitronectin (VN) (S-protein) (Serum-spreading factor)	2	1.962	0.0579827560572969	0.0295528828018843	1.962	0.0607866000000001	0.0309819571865444	0
Q9CX86	Hnrnpa0	Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0)	1	0.282	NA	NA	0.282	NA	NA	0
Q9D8W5	Psmd12	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	2	0.131	0.0141421356237309	0.107955233768938	0.131	0.014826	0.113175572519084	0
P16015	Ca3	Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III)	4	0.16375	0.0310201547384922	0.189436059471708	0.1565	0.0207564	0.13262875399361	0.559382926301443
Q5H8C4	Vps13a	Vacuolar protein sorting-associated protein 13A (Chorea-acanthocytosis protein homolog) (Chorein)	1	0.088	NA	NA	0.088	NA	NA	0
B8ZXI1	Qtrtd1	Queuine tRNA-ribosyltransferase subunit QTRTD1 (EC 2.4.2.29) (Queuine tRNA-ribosyltransferase domain-containing protein 1)	1	0.126	NA	NA	0.126	NA	NA	0
Q64010	Crk	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	3	0.115333333333333	0.0329292170167062	0.285513442341383	0.101	0.0133434	0.132112871287129	0.261814434322798
Q99NB1	Acss1	Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1)	15	0.064	0.0115201686495592	0.180002635149362	0.062	0.00593039999999999	0.0956516129032257	0.0943517445207721
P0C872	Jmjd7	JmjC domain-containing protein 7 (Jumonji domain-containing protein 7)	1	0.081	NA	NA	0.081	NA	NA	0
Q924D0	Rtn4ip1	Reticulon-4-interacting protein 1, mitochondrial (NOGO-interacting mitochondrial protein)	6	0.0385	0.00784219357067906	0.203693339498157	0.036	0.0051891	0.144141666666667	0.198408790252552
Q9D967	Mdp1	Magnesium-dependent phosphatase 1 (MDP-1) (EC 3.1.3.-) (EC 3.1.3.48)	5	0.0932	0.0248937743221071	0.267100582855227	0.088	0.0133434	0.151629545454545	0.080810449588985
Q11136	Pepd	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase 4) (Peptidase D) (Proline dipeptidase) (Prolidase)	5	0.22	0.183674984687627	0.834886294034668	0.145	0.0578214	0.398768275862069	0.0112913192602047
P00920	Ca2	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)	5	0.0224	0.00439317652729776	0.196123952111507	0.022	0.0044478	0.202172727272727	0.664606957054037
Q3U5Q7	Cmpk2	UMP-CMP kinase 2, mitochondrial (EC 2.7.4.14) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Thymidylate kinase LPS-inducible member) (TYKi)	5	0.0486	0.00550454357780915	0.113262213535168	0.049	0.00296519999999999	0.0605142857142855	0.690915728700509
P29758	Oat	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	7	0.147	0.014560219778561	0.099049114139871	0.149	0.0163086	0.109453691275168	0.639109907416177
Q9D8T7	Slirp	SRA stem-loop-interacting RNA-binding protein, mitochondrial	3	0.0563333333333333	0.00513160143944688	0.0910935166765719	0.055	0.0044478	0.080869090909091	0.566536268572568
Q9CX56	Psmd8	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14)	1	0.052	NA	NA	0.052	NA	NA	0
Q8BRK8	Prkaa2	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	3	0.212333333333333	0.0465008960487143	0.218999510433505	0.212	0.0681996	0.321696226415094	0.988143616928408
Q9JKF1	Iqgap1	Ras GTPase-activating-like protein IQGAP1	9	0.237555555555556	0.135254492634359	0.569359417076346	0.179	0.0845082	0.472112849162011	0.134643388819159
Q9D8S9	Bola1	BolA-like protein 1	5	0.1402	0.0128335497817245	0.091537444948106	0.145	0.014826	0.102248275862069	0.76623306512646
Q9CX34	Sugt1	Suppressor of G2 allele of SKP1 homolog	2	0.259	0.0113137084989848	0.0436822721968524	0.259	0.0118608	0.0457945945945946	0
P27546	Map4	Microtubule-associated protein 4 (MAP-4)	4	0.16575	0.020271079563424	0.122299122554594	0.173	0.0103782	0.0599895953757226	0.153909463268548
Q9JKC8	Ap3m1	AP-3 complex subunit mu-1 (AP-3 adaptor complex mu3A subunit) (Adaptor-related protein complex 3 subunit mu-1) (Mu-adaptin 3A) (Mu3A-adaptin)	2	0.1465	0.0304055915910216	0.207546700280011	0.1465	0.0318759	0.217582935153584	0
Q8N7N5	Dcaf8	DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A)	1	0.534	NA	NA	0.534	NA	NA	0
Q9QXG4	Acss2	Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme)	4	0.268	0.0518459255872629	0.19345494622113	0.272	0.059304	0.218029411764706	0.273359977085102
P17751	Tpi1	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	31	0.0563870967741935	0.0118256146263238	0.20972199852176	0.056	0.0103782	0.185325	0.0283956369513965
Q9D906	Atg7	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (mAGP7) (Ubiquitin-activating enzyme E1-like protein)	1	0.141	NA	NA	0.141	NA	NA	0
P35123	Usp4	Ubiquitin carboxyl-terminal hydrolase 4 (EC 3.4.19.12) (Deubiquitinating enzyme 4) (Ubiquitin thioesterase 4) (Ubiquitin-specific-processing protease 4) (Ubiquitous nuclear protein)	4	0.36825	0.031489416211377	0.0855109740974257	0.3615	0.0266868	0.0738224066390041	0.457119372950218
Q8BRF7	Scfd1	Sec1 family domain-containing protein 1 (Syntaxin-binding protein 1-like 2)	1	0.189	NA	NA	0.189	NA	NA	0
P56480	Atp5b	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)	32	0.0323125	0.00619800956603369	0.191814609393693	0.032	0.0059304	0.185325	0.92235408523339
P17742	Ppia	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) (SP18) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	9	0.0868888888888889	0.0150203565573894	0.172868553729546	0.083	0.0177912	0.214351807228916	0.449855602523238
P97390	Vps45	Vacuolar protein sorting-associated protein 45 (mVps45)	2	0.1035	0.021920310216783	0.21179043687713	0.1035	0.0229803	0.222031884057971	0
Q9D8N0	Eef1g	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	4	0.082	0.01909624744987	0.232881066461829	0.083	0.0185325	0.223283132530121	0.967994404823154
P97384	Anxa11	Annexin A11 (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	9	0.148555555555556	0.0369496654623256	0.248726244697779	0.148	0.0533736	0.360632432432432	0.278118375549413
Q9QXD8	Limd1	LIM domain-containing protein 1	4	0.22275	0.105994889813928	0.475846867851527	0.2445	0.0904386	0.369892024539877	0.526500307154739
Q9CWM4			1	0.511	NA	NA	0.511	NA	NA	0
Q99N96	Mrpl1	39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1)	1	0.062	NA	NA	0.062	NA	NA	0
Q99N94	Mrpl9	39S ribosomal protein L9, mitochondrial (L9mt) (MRP-L9)	1	0.082	NA	NA	0.082	NA	NA	0
Q99N92	Mrpl27	39S ribosomal protein L27, mitochondrial (L27mt) (MRP-L27)	1	0.045	NA	NA	0.045	NA	NA	0
P97372	Psme2	Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta)	2	0.1305	0.00353553390593274	0.0270922138385651	0.1305	0.0037065	0.0284022988505747	0
P97371	Psme1	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	6	0.154666666666667	0.0146241808887427	0.0945528936772156	0.154	0.0177912	0.115527272727273	0.4766166536977
Q99N87	Mrps5	28S ribosomal protein S5, mitochondrial (MRP-S5) (S5mt)	1	0.046	NA	NA	0.046	NA	NA	0
Q9QXC1	Fetub	Fetuin-B (Fetuin-like protein IRL685)	1	0.499	NA	NA	0.499	NA	NA	0
P70704	Atp8a1	Phospholipid-transporting ATPase IA (EC 3.6.3.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1)	2	0.2095	0.0657609306503489	0.313894657042238	0.2095	0.0689409	0.329073508353222	0
Q00898	Serpina1e	Alpha-1-antitrypsin 1-5 (Alpha-1 protease inhibitor 5) (Serine protease inhibitor 1-5) (Serine protease inhibitor A1e) (Serpin A1e)	4	0.43525	0.216783109735668	0.498065731730426	0.426	0.2283204	0.53596338028169	0.987616210050981
Q00897	Serpina1d	Alpha-1-antitrypsin 1-4 (Alpha-1 protease inhibitor 4) (Serine protease inhibitor 1-4) (Serine protease inhibitor A1d) (Serpin A1d)	1	0.471	NA	NA	0.471	NA	NA	0
P17710	Hk1	Hexokinase-1 (EC 2.7.1.1) (Hexokinase type I) (HK I) (Hexokinase, tumor isozyme)	11	0.0548181818181818	0.0176681531678791	0.322304618319519	0.054	0.022239	0.411833333333333	0.277609518143304
Q9CWK8	Snx2	Sorting nexin-2	1	0.124	NA	NA	0.124	NA	NA	0
Q9QXB9	Drg2	Developmentally-regulated GTP-binding protein 2 (DRG-2)	1	0.087	NA	NA	0.087	NA	NA	0
P15532	Nme1	Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Metastasis inhibition factor NM23) (NDPK-A) (Tumor metastatic process-associated protein) (nm23-M1)	1	0.082	NA	NA	0.082	NA	NA	0
P07934	Phkg1	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1) (EC 2.7.11.26)	3	0.22	0.0658255269633293	0.299206940742406	0.208	0.0696822	0.335010576923077	0.697211232135301
Q06185	Atp5i	ATP synthase subunit e, mitochondrial (ATPase subunit e)	1	0.018	NA	NA	0.018	NA	NA	0
P46664	Adss	Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)	1	0.384	NA	NA	0.384	NA	NA	0
P97355	Sms	Spermine synthase (SPMSY) (EC 2.5.1.22) (Spermidine aminopropyltransferase)	1	0.147	NA	NA	0.147	NA	NA	0
Q9CWJ9	Atic	Bifunctional purine biosynthesis protein PURH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	14	0.0889285714285714	0.0315288983088758	0.3545418283729	0.082	0.0244629	0.298328048780488	0.338843876674407
P97352			2	0.1085	0.0120208152801713	0.11079092424121	0.1085	0.0126021	0.116148387096774	0
P97351	Rps3a	40S ribosomal protein S3a (Protein TU-11)	3	0.083	0.00916515138991168	0.110423510721827	0.081	0.00889560000000001	0.109822222222222	0.636886845028965
Q3U5F4	Yrdc	YrdC domain-containing protein, mitochondrial (Ischemia/reperfusion-inducible protein) (mIRIP)	2	0.1565	0.023334523779156	0.149102388365214	0.1565	0.0244629	0.156312460063898	0
P23116	Eif3a	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Centrosomin) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185) (p162)	5	0.2262	0.0454719693877448	0.201025505692948	0.233	0.0326172	0.139987982832618	0.581411123998156
P46656	Fdx1	Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1)	1	0.161	NA	NA	0.161	NA	NA	0
P11152	Lpl	Lipoprotein lipase (LPL) (EC 3.1.1.34)	4	2.4005	1.09325035254206	0.455426099788401	2.7455	0.659757	0.240304862502277	0.262166437585978
Q9JJZ2	Tuba8	Tubulin alpha-8 chain (Alpha-tubulin 8)	2	0.1315	0.0205060966544099	0.155939898512623	0.1315	0.0214977	0.163480608365019	0
Q99MS7	Ehbp1l1	EH domain-binding protein 1-like protein 1 (Tangerin)	1	0.353	NA	NA	0.353	NA	NA	0
P07901	Hsp90aa1	Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Tumor-specific transplantation 86 kDa antigen) (TSTA)	10	0.1351	0.0174766510903357	0.129360851889976	0.136	0.0185325	0.136268382352941	0.897712211800092
P46638	Rab11b	Ras-related protein Rab-11B	1	0.16	NA	NA	0.16	NA	NA	0
Q9CWG8	Ndufaf7	NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 (Protein midA homolog, mitochondrial)	2	0.15	0.00848528137423858	0.0565685424949239	0.15	0.00889560000000001	0.0593040000000001	0
Q99MR9	Ppp1r3a	Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1)	5	0.2336	0.14457454824415	0.618897894880778	0.215	0.1512252	0.703373023255814	0.953302953255806
Q99MR8	Mccc1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	12	0.04425	0.0160007102115102	0.361597970881587	0.046	0.0155673	0.338419565217391	0.725024676414196
Q923T9	Camk2g	Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17)	1	0.11	NA	NA	0.11	NA	NA	0
Q61316			12	0.15025	0.0317722720737324	0.211462709309367	0.1505	0.0318759	0.2118	0.989443746974641
Q6Q899	Ddx58	Probable ATP-dependent RNA helicase DDX58 (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)	1	0.112	NA	NA	0.112	NA	NA	0
P67984	Rpl22	60S ribosomal protein L22 (Heparin-binding protein HBp15)	2	0.1005	0.0162634559672906	0.161825432510354	0.1005	0.0170499	0.169650746268657	0
Q9CWF2	Tubb2b	Tubulin beta-2B chain	1	0.058	NA	NA	0.058	NA	NA	0
Q99MQ4	Aspn	Asporin (Periodontal ligament-associated protein 1) (PLAP-1)	1	0.04	NA	NA	0.04	NA	NA	0
Q06138	Cab39	Calcium-binding protein 39 (MO25alpha) (Protein Mo25)	1	0.305	NA	NA	0.305	NA	NA	0
Q9JJW5	Myoz2	Myozenin-2 (Calsarcin-1) (FATZ-related protein 2)	1	0.036	NA	NA	0.036	NA	NA	0
Q9JK81	Myg1	UPF0160 protein MYG1, mitochondrial (Protein Gamm1)	3	0.31	0.131114453818029	0.422949851025899	0.244	0.0281694	0.115448360655738	0.1385017122613
Q9D8E6	Rpl4	60S ribosomal protein L4	7	0.0955714285714286	0.024798233424024	0.259473294421776	0.09	0.0207564	0.230626666666667	0.749788119327269
Q9CWE0	Mtfr1l	Mitochondrial fission regulator 1-like	2	0.1235	0.0940452018978108	0.76149961050859	0.1235	0.0985929	0.798323076923077	0
Q9JJU8	Sh3bgrl	SH3 domain-binding glutamic acid-rich-like protein	2	0.1715	0.0601040764008565	0.350461086885461	0.1715	0.0630105	0.367408163265306	0
P30285	Cdk4	Cyclin-dependent kinase 4 (EC 2.7.11.22) (CRK3) (Cell division protein kinase 4) (PSK-J3)	1	0.151	NA	NA	0.151	NA	NA	0
Q99MN9	Pccb	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)	8	0.029125	0.00906228448019593	0.311151398461663	0.0305	0.0051891	0.170134426229508	0.0531559158238598
Q9D8C4	Ifi35	Interferon-induced 35 kDa protein homolog (IFP 35) (Ifi-35)	1	0.314	NA	NA	0.314	NA	NA	0
Q99MN1	Kars	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	2	0.1695	0.00353553390593272	0.0208586071146473	0.1695	0.00370649999999998	0.021867256637168	0
Q9JK53	Prelp	Prolargin (Proline-arginine-rich end leucine-rich repeat protein)	3	0.14	0.0468721665810319	0.334801189864513	0.127	0.0385476	0.303524409448819	0.536737125066196
Q9D8B4			2	0.047	0.0014142135623731	0.0300896502632574	0.047	0.0014826	0.0315446808510639	0
Q9D8B3	Chmp4b	Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b)	2	0.392	0.0975807358037436	0.248930448478938	0.392	0.1022994	0.260967857142857	0
P42227	Stat3	Signal transducer and activator of transcription 3 (Acute-phase response factor)	5	0.4034	0.247736351793595	0.614120852239949	0.324	0.1438122	0.443864814814815	0.334893241968984
P42225			2	0.623	0.127279220613579	0.204300514628537	0.623	0.133434	0.214179775280899	0
Q8BR90			1	0.183	NA	NA	0.183	NA	NA	0
Q9JK48	Sh3glb1	Endophilin-B1 (SH3 domain-containing GRB2-like protein B1)	5	0.3182	0.0927723019009445	0.291553431492598	0.35	0.1008168	0.288048	0.583117000625214
Q9JK42	Pdk2	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2)	7	0.145	0.0626418390534633	0.432012683127333	0.139	0.0489258	0.351984172661871	0.998063695943235
O35129	Phb2	Prohibitin-2 (B-cell receptor-associated protein BAP37) (Repressor of estrogen receptor activity)	1	0.027	NA	NA	0.027	NA	NA	0
P42208	40787	Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5) (NEDD-5)	2	0.293	0.0876812408671319	0.299253381799085	0.293	0.0919212	0.313724232081911	0
Q9JK23	Psmg1	Proteasome assembly chaperone 1 (Down syndrome critical region protein 2 homolog)	2	0.1205	0.000707106781186548	0.00586810606793816	0.1205	0.000741300000000001	0.00615186721991702	0
Q9QX60	Dguok	Deoxyguanosine kinase, mitochondrial (dGK) (EC 2.7.1.113)	2	0.039	0.0014142135623731	0.0362618862146948	0.039	0.0014826	0.0380153846153846	0
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	5	0.107	0.0278836869871974	0.260595205487826	0.099	0.0177912	0.179709090909091	0.300792613916135
Q60865	Caprin1	Caprin-1 (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)	1	0.473	NA	NA	0.473	NA	NA	0
Q60864	Stip1	Stress-induced-phosphoprotein 1 (STI1) (mSTI1) (Hsc70/Hsp90-organizing protein) (Hop)	11	0.130727272727273	0.0324718059525211	0.248393508677143	0.129	0.0355824	0.275832558139535	0.292196909530608
Q60854	Serpinb6	Serpin B6 (Placental thrombin inhibitor) (Proteinase inhibitor 6) (PI-6)	3	0.0886666666666667	0.0453247540901584	0.51118143710705	0.063	0.0014826	0.0235333333333334	0.021069039357849
Q149B8	Perm1	PGC-1 and ERR-induced regulator in muscle protein 1 (PPARGC1 and ESRR-induced regulator in muscle 1) (Peroxisome proliferator-activated receptor gamma coactivator 1 and estrogen-related receptor-induced regulator in muscle 1)	2	0.118	0.0367695526217005	0.311606378150004	0.118	0.0385476	0.326674576271186	0
P10649	Gstm1	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST 1-1) (GST class-mu 1) (Glutathione S-transferase GT8.7) (pmGT10)	1	0.078	NA	NA	0.078	NA	NA	0
Q9JJL8	Sars2	Serine--tRNA ligase, mitochondrial (EC 6.1.1.11) (SerRSmt) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	1	0.047	NA	NA	0.047	NA	NA	0
P12815	Pdcd6	Programmed cell death protein 6 (ALG-257) (PMP41) (Probable calcium-binding protein ALG-2)	2	0.591	0.619425540319416	1.04809736094656	0.591	0.6493788	1.09877969543147	0
P10637	Mapt	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	3	0.0956666666666667	0.0281484161780611	0.294234315450116	0.099	0.0340998	0.344442424242424	0.803790051779886
P10630	Eif4a2	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	6	0.300666666666667	0.0673874370091835	0.224126730629213	0.278	0.0541149	0.194657913669065	0.147760779363762
